,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whosoever,marries,any,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IN,case,of,divorce,a,mensa,et,thoro,the,law,allows,alimony,to,the,wife,which,is,that,allowance,which,is,made,to,a,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By,marriage,the,husband,and,wife,are,one,person,in,law36,that,is,the,very,being,or,legal,existence,of,the,woman
By,marriage,the,husband,and,wife,are,one,person,in,law36,that,is,the,very,being,or,legal,existence,of,the,woman,is,suspended,during,the,marriage,or,at,least,is,incorporated,and,consolidated,into,that,of,the,husband,under,whose,wing,protection,and,cover,she,performs,everything,and,is,therefore,called,in,our,lawfrench,a,femecovert,married,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,There,is,indeed,one,case,where,the,wife,shall,sue,and,be,sued,as,a,feme,sole,single,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in,case,a,woman
,,,,,For,in,this,case,she,can,with,no,propriety,be,reckoned,his,wife,because,a,main,ingredient,her,consent,was,wanting,to,the,contract,and,also,there,is,another,maxim,of,law,that,no,man,shall,take,advantage,of,his,own,wrong,which,the,ravisher,here,would,do,if,by,forcibly,marrying,a,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,IN,the,civil,law,the,husband,and,wife,are,considered,as,two,distinct,persons,and,may,have,separate,estates,contracts,debts,and,injuries,and,therefore,in,our,ecclesiastical,courts,a,woman
