,,,,,,,,,,,,,,W,What,was,her
,,,,,,,,,,,,,Translating,She,stopped,at,her
,,,,R,translating,There,were,a,lot,of,people,Henry,Benezras,mother,and,father,her
,,,,,,,,,,,,,,,R,Tell,her
Translating,When,somebody,went,to,jail,or,was,in,trouble,with,the,law,what,happened,He,Joseph,her
,,,,,,,,,,,He,then,went,back,to,get,her
,,,,,,,,,He,then,went,back,to,get,her,and,her
,,,,,,,,,,,,,,Before,he,came,her
,,,,,,Before,he,came,her,brother,had,married,this,woman,and,brought,her
