,,,,,,,,,,,,,,Since,I,trust,in,the,intelligence,of,the,reader,I,have,assumed,that,he,or,she
,,,,,,,,,,,,,,,,,,,,FATHER,It,was,of,no,concern,to,me,whom,she
,,,,,,,,,,,,,,,,,,,,,,,,,,,,If,she
,,,,,,,,,,,,,,,,,,,,,,,,She,was,rotten,then,and,she
,,,,,,,,,,,,,,,,,,,,,,,,MOTHER,Did,you,hear,how,she
,,,,,,,,,,,,,,,,,,,,,,,FATHER,Sternly,Every,mother,feels,as,she
,,,,,,,,,,,,,,,,,LARISSA,Makes,fun,of,him,but,there,is,underlying,truth,in,what,she
We,shared,a,moment,in,the,sun,before,the,day,grew,horribly,oppressive,and,as,we,wiped,away,the,sweat,trickling,down,into,our,dresses,with,our,white,handkerchiefs,she
,,,,,,,,,,,,,,,,,,,,,,,,,,,Be,quiet,she
